"PROTEIN","ID","Gene","t","N","S","dN.dS","dN","dS","N.dN","S.dS"
"snap_masked-scaffold1228-size62174-abinit-gene-0.4-mRNA-1","12774","12774",0.086,655.4,184.6,0.0741,0.0077,0.1038,5,19.2
"maker-scaffold1228-size62174-augustus-gene-0.11-mRNA-1","12775","12775",0.183,639.6,146.4,0.1411,0.0286,0.203,18.3,29.7
"maker-scaffold8587-size1360-augustus-gene-0.3-mRNA-1","12776","12776",0.092,675.2,197.8,0.0257,0.0032,0.1241,2.2,24.6
"augustus_masked-scaffold190-size123021-abinit-gene-0.2-mRNA-1","12777","12777",0.03,1141.6,238.4,0.0252,0.0013,0.0518,1.5,12.4
"maker-scaffold190-size123021-snap-gene-0.11-mRNA-1","12778","12778",0.046,204.6,68.4,0.0629,0.0032,0.0513,0.7,3.5
"augustus_masked-scaffold190-size123021-abinit-gene-1.3-mRNA-1","12783","12783",0.018,385.9,124.1,0.0257,6e-04,0.0228,0.2,2.8
"maker-scaffold190-size123021-snap-gene-1.22-mRNA-1","12785","12785",0.102,1721.9,420.1,0.0893,0.0114,0.1271,19.6,53.4
"maker-scaffold741-size109204-augustus-gene-0.21-mRNA-1","12795","12795",0.352,536.4,249.6,0.0666,0.0215,0.3229,11.5,80.6
"maker-scaffold741-size109204-augustus-gene-0.26-mRNA-1","12799","12799",0.156,2076.4,527.6,0.0513,0.011,0.2142,22.8,113
"maker-scaffold741-size109204-augustus-gene-0.22-mRNA-1","12801","12801",0.124,2169,495,0.0575,0.0102,0.1777,22.2,88
"snap_masked-scaffold2373-size27993-abinit-gene-0.5-mRNA-1","12803","12803",0.097,1025.2,219.8,0.0251,0.0041,0.1647,4.2,36.2
"maker-scaffold2093-size45608-snap-gene-0.4-mRNA-1","12811","12811",0.081,1057.6,316.4,0.0119,0.0013,0.113,1.4,35.8
"maker-scaffold464-size43450-augustus-gene-0.28-mRNA-1","12813","12813",0.131,1881.3,599.7,0.0781,0.0113,0.1452,21.3,87.1
"maker-scaffold464-size43450-augustus-gene-0.26-mRNA-1","12818","12818",0.24,636.5,164.5,0.0259,0.0092,0.3539,5.8,58.2
"maker-scaffold464-size43450-snap-gene-0.39-mRNA-1","12819","12819",0.137,846.9,269.1,0.0725,0.0112,0.1547,9.5,41.6
"maker-scaffold5812-size2397-snap-gene-0.6-mRNA-1","12825","12825",0.075,180.9,38.1,0.0173,0.0023,0.1328,0.4,5.1
"maker-scaffold2235-size26234-snap-gene-0.13-mRNA-1","12827","12827",0.081,553.9,157.1,0.0418,0.0045,0.1068,2.5,16.8
"maker-scaffold2235-size26234-augustus-gene-0.9-mRNA-1","12828","12828",0.061,2190.5,626.5,0.0869,0.0061,0.0702,13.4,44
"maker-scaffold2235-size26234-augustus-gene-0.11-mRNA-1","12829","12829",0.093,257.3,75.7,0.1711,0.0148,0.0866,3.8,6.6
"snap_masked-scaffold38-size181029-abinit-gene-0.16-mRNA-1","12831","12831",0.054,598.1,187.9,0.0841,0.005,0.0593,3,11.1
"maker-scaffold38-size181029-augustus-gene-0.17-mRNA-1","12833","12833",0.057,792.2,197.8,0.0608,0.0047,0.0766,3.7,15.1
"augustus_masked-scaffold38-size181029-abinit-gene-0.1-mRNA-1","12836","12836",0.097,906.4,233.6,0.066,0.0083,0.1261,7.6,29.5
"maker-scaffold38-size181029-snap-gene-1.27-mRNA-1","12840","12840",0.016,365.9,93.1,0.1297,0.0023,0.0177,0.8,1.6
"augustus_masked-scaffold38-size181029-abinit-gene-1.3-mRNA-1","12844","12844",0.143,550.6,133.4,0.076,0.0141,0.1858,7.8,24.8
"augustus_masked-scaffold38-size181029-abinit-gene-1.2-mRNA-1","12845","12845",0.147,572.5,177.5,0.1438,0.0204,0.1416,11.7,25.1
"maker-scaffold2504-size8438-snap-gene-0.1-mRNA-1","12849","12849",0.173,166.5,55.5,0.0768,0.0144,0.1872,2.4,10.4
"maker-scaffold3032-size19911-augustus-gene-0.11-mRNA-1","12851","12851",0.07,203.6,72.4,0.0662,0.005,0.0753,1,5.4
"augustus_masked-scaffold3032-size19911-abinit-gene-0.0-mRNA-1","12852","12852",0.139,154.3,31.7,0.0668,0.0137,0.205,2.1,6.5
"maker-scaffold3032-size19911-snap-gene-0.16-mRNA-1","12854","12854",0.012,473.5,174.5,0.0038,1e-04,0.0149,0,2.6
"augustus_masked-scaffold3032-size19911-abinit-gene-0.3-mRNA-1","12855","12855",0.148,1090.3,310.7,0.0317,0.0064,0.2004,6.9,62.3
"maker-scaffold3189-size20303-snap-gene-0.4-mRNA-1","12857","12857",0.205,1263.2,374.8,0.0885,0.0204,0.2301,25.7,86.2
"maker-scaffold517-size51956-snap-gene-0.11-mRNA-1","12861","12861",0.092,9127,2642,0.0456,0.0054,0.1186,49.4,313.4
"augustus_masked-scaffold1480-size42382-abinit-gene-0.5-mRNA-1","12862","12862",0.121,1955.5,624.5,0.0824,0.0109,0.1323,21.3,82.6
"snap_masked-scaffold1480-size42382-abinit-gene-0.12-mRNA-1","12864","12864",0.128,399.5,104.5,0.0933,0.0142,0.1517,5.7,15.9
"maker-scaffold1480-size42382-augustus-gene-0.19-mRNA-1","12866","12866",0.039,1645.1,550.9,0.0484,0.0022,0.0454,3.6,25
"maker-scaffold1001-size26329-augustus-gene-0.5-mRNA-1","12870","12870",0.066,2708,760,0.0122,0.0012,0.0955,3.1,72.6
"augustus_masked-scaffold1410-size24577-abinit-gene-0.0-mRNA-1","12874","12874",0.145,1513.9,298.1,0.0686,0.015,0.2181,22.7,65
"maker-scaffold1302-size31150-augustus-gene-0.12-mRNA-1","12877","12877",0.041,664.2,223.8,0.077,0.0034,0.0438,2.2,9.8
"augustus_masked-scaffold1921-size31613-abinit-gene-0.0-mRNA-1","12883","12883",0.178,330.3,113.7,0.0717,0.0137,0.1917,4.5,21.8
"maker-scaffold1921-size31613-snap-gene-0.10-mRNA-1","12885","12885",0.023,1034.5,279.5,0.0181,6e-04,0.0337,0.6,9.4
"maker-scaffold1656-size13292-augustus-gene-0.8-mRNA-1","12887","12887",0.035,1241.6,330.4,0.013,7e-04,0.053,0.9,17.5
"augustus_masked-scaffold942-size109003-abinit-gene-0.3-mRNA-1","12889","12889",0.057,955.1,316.9,0.1273,0.0071,0.0555,6.7,17.6
"augustus_masked-scaffold942-size109003-abinit-gene-0.0-mRNA-1","12890","12890",0.023,856,236,0.1015,0.0026,0.0255,2.2,6
"snap_masked-scaffold942-size109003-abinit-gene-0.9-mRNA-1","12891","12891",0.062,272.4,102.6,0.068,0.0044,0.0642,1.2,6.6
"augustus_masked-scaffold942-size109003-abinit-gene-0.1-mRNA-1","12892","12892",0.052,1280.6,378.4,0.0808,0.0048,0.0593,6.1,22.4
"snap_masked-scaffold942-size109003-abinit-gene-0.17-mRNA-1","12893","12893",0.059,144.7,32.3,0.1224,0.0085,0.0693,1.2,2.2
"maker-scaffold942-size109003-snap-gene-0.29-mRNA-1","12894","12894",0.03,1088.5,282.5,0.0454,0.0019,0.0411,2,11.6
"maker-scaffold942-size109003-snap-gene-0.31-mRNA-1","12896","12896",0.029,808.8,277.2,0.0723,0.0022,0.0307,1.8,8.5
"augustus_masked-scaffold2498-size21059-abinit-gene-0.1-mRNA-1","12901","12901",0.075,1033.4,247.6,0.0275,0.0032,0.1163,3.3,28.8
"augustus_masked-scaffold2498-size21059-abinit-gene-0.2-mRNA-1","12902","12902",0.167,336.7,104.3,0.1601,0.0249,0.1554,8.4,16.2
"augustus_masked-scaffold1925-size31582-abinit-gene-0.2-mRNA-1","12907","12907",0.16,133.6,43.4,0.0791,0.0138,0.1745,1.8,7.6
"maker-scaffold1402-size16089-augustus-gene-0.6-mRNA-1","12913","12913",0.052,1563.9,509.1,0.0459,0.0028,0.0619,4.4,31.5
"maker-scaffold2499-size8455-augustus-gene-0.7-mRNA-1","12914","12914",0.114,923.2,267.8,0.0786,0.0104,0.1328,9.6,35.6
"maker-scaffold2499-size8455-augustus-gene-0.9-mRNA-1","12917","12917",0.083,669.3,239.7,0.0579,0.0052,0.09,3.5,21.6
"augustus_masked-scaffold16-size143973-abinit-gene-0.3-mRNA-1","12922","12922",0.1,264.2,74.8,0.0805,0.0095,0.1174,2.5,8.8
"maker-scaffold16-size143973-augustus-gene-1.10-mRNA-1","12928","12928",0.077,1190.6,417.4,0.0937,0.0073,0.0781,8.7,32.6
"maker-scaffold16-size143973-augustus-gene-1.12-mRNA-1","12930","12930",0.05,2054.7,528.3,0.0219,0.0017,0.0757,3.4,40
"maker-scaffold16-size143973-augustus-gene-1.14-mRNA-1","12931","12931",0.025,656,220,0.0587,0.0017,0.0288,1.1,6.3
"maker-scaffold447-size68240-augustus-gene-0.23-mRNA-1","12935","12935",0.129,1545,414,0.1534,0.0199,0.1297,30.7,53.7
"maker-scaffold447-size68240-augustus-gene-0.25-mRNA-1","12936","12936",0.073,898.7,244.3,0.0994,0.0083,0.0838,7.5,20.5
"maker-scaffold4739-size5628-snap-gene-0.2-mRNA-1","12942","12942",0.064,490.1,142.9,0.0439,0.0036,0.0827,1.8,11.8
"maker-scaffold1015-size19200-augustus-gene-0.4-mRNA-1","12952","12952",0.078,761.1,195.9,0.0504,0.0053,0.1061,4.1,20.8
"maker-scaffold1073-size36125-augustus-gene-0.16-mRNA-1","12960","12960",0.088,453.9,104.1,0.0531,0.0068,0.1283,3.1,13.4
"maker-scaffold1073-size36125-augustus-gene-0.15-mRNA-1","12961","12961",0.15,1023.5,353.5,0.0935,0.0143,0.1529,14.6,54.1
"maker-scaffold1073-size36125-augustus-gene-0.22-mRNA-1","12963","12963",0.106,632.1,150.9,0.0908,0.0121,0.1331,7.6,20.1
"maker-scaffold1073-size36125-snap-gene-0.30-mRNA-1","12966","12966",0.169,750,240,0.1312,0.0216,0.1649,16.2,39.6
"maker-scaffold1595-size30385-augustus-gene-0.8-mRNA-1","12970","12970",0.065,1439.4,372.6,0.0547,0.0048,0.0872,6.9,32.5
"maker-scaffold5901-size2326-snap-gene-0.3-mRNA-1","12974","12974",0.089,1024.3,253.7,0.071,0.0083,0.1165,8.5,29.5
"maker-scaffold89-size185956-snap-gene-1.40-mRNA-1","12978","12978",0.109,827.5,282.5,0.0557,0.0069,0.123,5.7,34.7
"augustus_masked-scaffold89-size185956-abinit-gene-1.3-mRNA-1","12979","12979",0.07,1655,499,0.0392,0.0035,0.0894,5.8,44.6
"augustus_masked-scaffold89-size185956-abinit-gene-1.0-mRNA-1","12981","12981",0.097,497.8,153.2,0.1236,0.0122,0.0984,6.1,15.1
"maker-scaffold89-size185956-augustus-gene-1.35-mRNA-1","12984","12984",0.03,383.6,120.4,0.0928,0.003,0.0326,1.2,3.9
"augustus_masked-scaffold89-size185956-abinit-gene-1.14-mRNA-1","12985","12985",0.082,872.6,231.4,0.0787,0.0079,0.1005,6.9,23.3
"maker-scaffold89-size185956-augustus-gene-1.33-mRNA-1","12986","12986",0.078,768.7,224.3,0.0866,0.0076,0.0882,5.9,19.8
"maker-scaffold89-size185956-snap-gene-1.46-mRNA-1","12988","12988",0.096,831.2,251.8,0.054,0.0063,0.1163,5.2,29.3
"maker-scaffold89-size185956-augustus-gene-1.34-mRNA-1","12989","12989",0.023,962.8,333.2,0.0308,8e-04,0.0272,0.8,9.1
"maker-scaffold89-size185956-snap-gene-1.45-mRNA-1","12990","12990",0.115,885.4,326.6,0.1201,0.0129,0.1077,11.5,35.2
"augustus_masked-scaffold866-size34123-abinit-gene-0.0-mRNA-1","12992","12992",0.11,414.8,164.2,0.0298,0.0036,0.1198,1.5,19.7
"maker-scaffold866-size34123-snap-gene-0.6-mRNA-1","12993","12993",0.135,226.6,58.4,0.0785,0.0132,0.1685,3,9.8
"maker-scaffold866-size34123-snap-gene-0.5-mRNA-1","12995","12995",0.107,981.2,308.8,0.0751,0.009,0.1204,8.9,37.2
"maker-scaffold1422-size45602-augustus-gene-0.7-mRNA-1","13000","13000",0.097,1040,319,0.0156,0.002,0.1312,2.1,41.9
"snap_masked-scaffold4738-size3430-abinit-gene-0.1-mRNA-1","13004","13004",0.111,545.5,126.5,0.0181,0.0033,0.183,1.8,23.2
"maker-scaffold237-size52980-augustus-gene-0.10-mRNA-1","13008","13008",0.103,1288,377,0.0722,0.0088,0.1221,11.3,46
"maker-scaffold237-size52980-snap-gene-0.18-mRNA-1","13009","13009",0.104,1222.7,394.3,0.0534,0.0065,0.1223,8,48.2
"augustus_masked-scaffold4513-size5634-abinit-gene-0.0-mRNA-1","13012","13012",0.1,526.8,127.2,0.018,0.0029,0.1597,1.5,20.3
"maker-scaffold1791-size21183-augustus-gene-0.5-mRNA-1","13013","13013",0.058,2197.9,718.1,0.018,0.0013,0.0738,2.9,53
"maker-scaffold1569-size58317-snap-gene-0.10-mRNA-1","13020","13020",0.138,1239.7,371.3,0.1303,0.0181,0.1392,22.5,51.7
"maker-scaffold1569-size58317-snap-gene-0.9-mRNA-1","13021","13021",0.107,2733.2,593.8,0.0416,0.007,0.168,19.1,99.8
"maker-scaffold1854-size35893-snap-gene-0.4-mRNA-1","13024","13024",0.052,766.3,244.7,0.0239,0.0016,0.0672,1.2,16.4
"maker-scaffold856-size44017-snap-gene-0.19-mRNA-1","13027","13027",0.059,1532.8,414.2,0.0808,0.0058,0.0717,8.9,29.7
"augustus_masked-scaffold856-size44017-abinit-gene-0.3-mRNA-1","13028","13028",0.052,367.2,76.8,0.0065,6e-04,0.0973,0.2,7.5
"maker-scaffold856-size44017-snap-gene-0.21-mRNA-1","13030","13030",0.064,1665.3,452.7,0.0737,0.0058,0.0786,9.6,35.6
"snap_masked-scaffold1790-size14554-abinit-gene-0.4-mRNA-1","13032","13032",0.086,1256.2,390.8,0.0606,0.0062,0.1017,7.7,39.7
"augustus_masked-scaffold1790-size14554-abinit-gene-0.1-mRNA-1","13034","13034",0.038,1550,442,0.0709,0.0032,0.0458,5,20.3
"augustus_masked-scaffold904-size79630-abinit-gene-0.1-mRNA-1","13036","13036",0.081,429.3,116.7,0.0714,0.0072,0.1005,3.1,11.7
"maker-scaffold1380-size38888-snap-gene-0.3-mRNA-1","13039","13039",0.012,762.8,257.2,0.0178,3e-04,0.0156,0.2,4
"augustus_masked-scaffold409-size75298-abinit-gene-0.0-mRNA-1","13041","13041",0.077,2418.1,668.9,0.0654,0.0063,0.0962,15.2,64.4
"augustus_masked-scaffold409-size75298-abinit-gene-0.3-mRNA-1","13042","13042",0.043,829.3,256.7,0.1098,0.0049,0.0444,4,11.4
"maker-scaffold409-size75298-augustus-gene-0.17-mRNA-1","13045","13045",0.086,589.3,166.7,0.0396,0.0045,0.1143,2.7,19
"maker-scaffold985-size58369-augustus-gene-0.14-mRNA-1","13049","13049",0.066,780.9,281.1,0.0693,0.0048,0.0698,3.8,19.6
"maker-scaffold1130-size84275-augustus-gene-0.11-mRNA-1","13057","13057",0.071,181.1,49.9,0.0048,5e-04,0.1074,0.1,5.4
"maker-scaffold537-size35052-augustus-gene-0.14-mRNA-1","13060","13060",0.046,597.5,173.5,0.0807,0.0043,0.0528,2.5,9.2
"maker-scaffold537-size35052-snap-gene-0.21-mRNA-1","13061","13061",0.09,1164.7,344.3,0.0451,0.0051,0.1138,6,39.2
"maker-scaffold537-size35052-snap-gene-0.22-mRNA-1","13062","13062",0.051,1166,343,0.0489,0.0031,0.0637,3.6,21.8
"augustus_masked-scaffold50-size193894-abinit-gene-0.10-mRNA-1","13066","13066",0.091,329.9,87.1,0.0438,0.0055,0.1246,1.8,10.9
"augustus_masked-scaffold50-size193894-abinit-gene-0.8-mRNA-1","13067","13067",0.108,4269.6,1382.4,0.0562,0.007,0.1249,30,172.7
"maker-scaffold50-size193894-augustus-gene-0.34-mRNA-1","13068","13068",0.041,1257.7,341.3,0.0745,0.0037,0.0503,4.7,17.2
"augustus_masked-scaffold50-size193894-abinit-gene-0.2-mRNA-1","13069","13069",0.018,2104.4,730.6,0.0587,0.0012,0.0199,2.5,14.5
"snap_masked-scaffold50-size193894-abinit-gene-0.17-mRNA-1","13074","13074",0.088,870.8,296.2,0.0285,0.003,0.1068,2.7,31.6
"maker-scaffold50-size193894-augustus-gene-0.40-mRNA-1","13077","13077",0.07,881.1,270.9,0.0479,0.0041,0.0858,3.6,23.2
"maker-scaffold50-size193894-augustus-gene-1.30-mRNA-1","13082","13082",0.084,1369.1,385.9,0.1106,0.0101,0.0915,13.9,35.3
"augustus_masked-scaffold50-size193894-abinit-gene-1.7-mRNA-1","13085","13085",0.05,2257.9,748.1,0.0518,0.003,0.0583,6.8,43.6
"maker-scaffold451-size69730-augustus-gene-0.20-mRNA-1","13093","13093",0.062,311.9,111.1,0.1412,0.0079,0.0561,2.5,6.2
"augustus_masked-scaffold451-size69730-abinit-gene-0.1-mRNA-1","13095","13095",0.171,215.6,78.4,0.0137,0.0028,0.2065,0.6,16.2
"maker-scaffold451-size69730-snap-gene-0.29-mRNA-1","13096","13096",0.051,166.5,55.5,0.0464,0.0028,0.0598,0.5,3.3
"snap_masked-scaffold451-size69730-abinit-gene-0.15-mRNA-1","13098","13098",0.105,914.3,315.7,0.1,0.0106,0.1061,9.7,33.5
"maker-scaffold451-size69730-snap-gene-0.30-mRNA-1","13100","13100",0.061,2545.3,724.7,0.0385,0.0031,0.0808,7.9,58.6
"maker-scaffold1210-size16892-augustus-gene-0.7-mRNA-1","13103","13103",0.133,1160.1,339.9,0.0669,0.0106,0.1587,12.3,53.9
"maker-scaffold1210-size16892-augustus-gene-0.8-mRNA-1","13105","13105",0.066,393,165,0.0654,0.0042,0.0646,1.7,10.7
"maker-scaffold1386-size39429-augustus-gene-0.13-mRNA-1","13108","13108",0.137,519.3,146.7,0.0684,0.0114,0.1666,5.9,24.4
"maker-scaffold1386-size39429-snap-gene-0.21-mRNA-1","13111","13111",0.1,1135.7,334.3,0.064,0.0077,0.1198,8.7,40.1
"augustus_masked-scaffold259-size80497-abinit-gene-0.0-mRNA-1","13119","13119",0.09,405.6,122.4,0.0585,0.0064,0.1088,2.6,13.3
"augustus_masked-scaffold259-size80497-abinit-gene-0.2-mRNA-1","13120","13120",0.181,889.6,235.4,0.1789,0.0308,0.1723,27.4,40.5
"maker-scaffold259-size80497-snap-gene-0.20-mRNA-1","13121","13121",0.094,1601.7,396.3,0.0271,0.0039,0.1425,6.2,56.5
"maker-scaffold6448-size4869-snap-gene-0.0-mRNA-1","13124","13124",0.121,212.6,78.4,0.0531,0.0069,0.1306,1.5,10.2
"augustus_masked-scaffold473-size57457-abinit-gene-0.0-mRNA-1","13129","13129",0.061,234.3,71.7,0.2297,0.0114,0.0495,2.7,3.6
"augustus_masked-scaffold473-size57457-abinit-gene-0.1-mRNA-1","13130","13130",0.101,446,118,0.1232,0.0136,0.1103,6.1,13
"maker-scaffold7638-size1573-augustus-gene-0.2-mRNA-1","13133","13133",0.122,905.7,201.3,0.0473,0.0088,0.1851,7.9,37.3
"augustus_masked-scaffold1867-size22147-abinit-gene-0.2-mRNA-1","13144","13144",0.071,1358.8,453.2,0.1566,0.01,0.0641,13.6,29.1
"augustus_masked-scaffold1867-size22147-abinit-gene-0.4-mRNA-1","13146","13146",0.042,1048.5,295.5,0.1061,0.0049,0.0463,5.2,13.7
"maker-scaffold1867-size22147-augustus-gene-0.16-mRNA-1","13148","13148",0.1,611.7,198.3,0.0932,0.0098,0.1055,6,20.9
"maker-scaffold1867-size22147-snap-gene-0.22-mRNA-1","13150","13150",0.078,713.1,234.9,0.0603,0.0054,0.0892,3.8,21
"maker-scaffold1867-size22147-snap-gene-0.20-mRNA-1","13151","13151",0.112,223.1,55.9,0.1042,0.0137,0.1313,3.1,7.3
"maker-scaffold1429-size15012-snap-gene-0.11-mRNA-1","13154","13154",0.115,3718.9,1129.1,0.1049,0.0128,0.1219,47.6,137.7
"augustus_masked-scaffold1429-size15012-abinit-gene-0.0-mRNA-1","13156","13156",0.068,1058.5,357.5,0.0768,0.0057,0.0737,6,26.3
"maker-scaffold1429-size15012-augustus-gene-0.10-mRNA-1","13157","13157",0.154,986.2,297.8,0.0793,0.0139,0.1751,13.7,52.2
"augustus_masked-scaffold1142-size21381-abinit-gene-0.2-mRNA-1","13160","13160",0.074,696.1,170.9,0.0869,0.008,0.0921,5.6,15.7
"maker-scaffold200-size60706-augustus-gene-0.19-mRNA-1","13161","13161",0.074,865.6,322.4,0.0338,0.0028,0.0831,2.4,26.8
"maker-scaffold200-size60706-augustus-gene-0.17-mRNA-1","13164","13164",0.071,606.5,155.5,0.0412,0.0041,0.0993,2.5,15.4
"maker-scaffold200-size60706-augustus-gene-0.20-mRNA-1","13166","13166",0.075,1461.7,527.3,0.0479,0.004,0.0833,5.8,43.9
"maker-scaffold3665-size8368-snap-gene-0.3-mRNA-1","13169","13169",0.023,830,295,0.045,0.0012,0.0258,1,7.6
"maker-scaffold2222-size9695-augustus-gene-0.2-mRNA-1","13171","13171",0.122,795.1,251.9,0.0961,0.0125,0.1297,9.9,32.7
"augustus_masked-scaffold1185-size39856-abinit-gene-0.8-mRNA-1","13175","13175",0.079,579.9,191.1,0.0797,0.0068,0.0859,4,16.4
"augustus_masked-scaffold1185-size39856-abinit-gene-0.3-mRNA-1","13181","13181",0.09,599.8,213.2,0.1067,0.0094,0.0882,5.6,18.8
"maker-scaffold1185-size39856-snap-gene-0.38-mRNA-1","13182","13182",0.105,417,117,0.1542,0.0159,0.1033,6.6,12.1
"maker-scaffold1185-size39856-snap-gene-0.36-mRNA-1","13183","13183",0.116,434.8,138.2,0.0596,0.0081,0.135,3.5,18.7
"augustus_masked-scaffold1185-size39856-abinit-gene-0.9-mRNA-1","13185","13185",0.06,514.9,172.1,0.1101,0.0066,0.0602,3.4,10.4
"maker-scaffold1222-size23549-augustus-gene-0.4-mRNA-1","13188","13188",0.087,2001.6,479.4,0.0113,0.0016,0.143,3.2,68.6
"maker-scaffold2188-size27707-augustus-gene-0.8-mRNA-1","13189","13189",0.007,862.4,217.6,1e-04,0,0.0109,0,2.4
"augustus_masked-scaffold2188-size27707-abinit-gene-0.2-mRNA-1","13190","13190",0.08,308.2,90.8,0.0989,0.0087,0.0878,2.7,8
"augustus_masked-scaffold1436-size29045-abinit-gene-0.0-mRNA-1","13196","13196",0.123,2400.7,512.3,0.0716,0.0125,0.174,29.9,89.2
"snap_masked-scaffold3-size168552-abinit-gene-0.10-mRNA-1","13200","13200",0.107,2545.6,796.4,0.1147,0.0126,0.1096,32,87.3
"snap_masked-scaffold3-size168552-abinit-gene-0.17-mRNA-1","13202","13202",0.065,209.4,75.6,0.0448,0.0033,0.0731,0.7,5.5
"augustus_masked-scaffold3-size168552-abinit-gene-0.4-mRNA-1","13203","13203",0.074,1626.8,458.2,0.1132,0.0091,0.0801,14.8,36.7
"snap_masked-scaffold3-size168552-abinit-gene-0.19-mRNA-1","13206","13206",0.06,1252.9,325.1,0.0385,0.0033,0.085,4.1,27.6
"augustus_masked-scaffold3-size168552-abinit-gene-1.9-mRNA-1","13208","13208",0.049,869.5,273.5,0.0772,0.0042,0.0546,3.7,14.9
"maker-scaffold3-size168552-augustus-gene-1.32-mRNA-1","13209","13209",0.045,574.4,181.6,0.055,0.0029,0.053,1.7,9.6
"maker-scaffold3-size168552-snap-gene-1.52-mRNA-1","13210","13210",0.079,982,281,0.0214,0.0024,0.1102,2.3,31
"maker-scaffold3-size168552-augustus-gene-1.37-mRNA-1","13213","13213",0.102,353,112,0.0647,0.0076,0.1174,2.7,13.2
"maker-scaffold3-size168552-augustus-gene-1.35-mRNA-1","13214","13214",0.052,561.5,185.5,0.0454,0.0028,0.062,1.6,11.5
"maker-scaffold3-size168552-augustus-gene-1.46-mRNA-1","13215","13215",0.125,593.4,192.6,0.0263,0.0042,0.1578,2.5,30.4
"maker-scaffold3-size168552-augustus-gene-1.40-mRNA-1","13216","13216",0.009,699.6,212.4,0.0178,2e-04,0.0121,0.2,2.6
"maker-scaffold3-size168552-snap-gene-1.53-mRNA-1","13217","13217",0.084,1846.8,643.2,0.0754,0.0068,0.0895,12.5,57.6
"maker-scaffold3-size168552-augustus-gene-1.45-mRNA-1","13218","13218",0.059,485.4,168.6,0.048,0.0032,0.0668,1.6,11.3
"augustus_masked-scaffold3-size168552-abinit-gene-1.6-mRNA-1","13220","13220",0.023,317.1,84.9,0.0128,4e-04,0.0343,0.1,2.9
"maker-scaffold3-size168552-augustus-gene-1.44-mRNA-1","13222","13222",0.035,565.9,130.1,0.0269,0.0015,0.0561,0.9,7.3
"maker-scaffold3-size168552-augustus-gene-1.41-mRNA-1","13223","13223",0.033,1515.4,416.6,0.0553,0.0023,0.0424,3.6,17.7
"augustus_masked-scaffold2042-size28187-abinit-gene-0.1-mRNA-1","13229","13229",0.039,415.8,136.2,0.0578,0.0026,0.0448,1.1,6.1
"maker-scaffold2042-size28187-snap-gene-0.12-mRNA-1","13230","13230",0.097,978.3,317.7,0.0986,0.01,0.1015,9.8,32.2
"maker-scaffold4705-size6620-augustus-gene-0.4-mRNA-1","13237","13237",0.054,909.5,179.5,0.0363,0.0034,0.0925,3.1,16.6
"augustus_masked-scaffold734-size28630-abinit-gene-0.0-mRNA-1","13238","13238",0.1,416.5,135.5,0.0584,0.0067,0.1147,2.8,15.5
"augustus_masked-scaffold946-size117884-abinit-gene-0.14-mRNA-1","13239","13239",0.11,1513.8,424.2,0.0745,0.0099,0.1326,14.9,56.2
"maker-scaffold946-size117884-augustus-gene-0.36-mRNA-1","13240","13240",0.222,669.3,191.7,0.0611,0.0167,0.2738,11.2,52.5
"maker-scaffold946-size117884-augustus-gene-0.34-mRNA-1","13241","13241",0.062,982.6,322.4,0.0403,0.003,0.0739,2.9,23.8
"snap_masked-scaffold946-size117884-abinit-gene-0.19-mRNA-1","13242","13242",0.123,1401.6,428.4,0.0715,0.0102,0.1425,14.3,61
"augustus_masked-scaffold946-size117884-abinit-gene-0.3-mRNA-1","13243","13243",0.318,411.8,107.2,0.1618,0.0512,0.3166,21.1,34
"maker-scaffold946-size117884-augustus-gene-0.31-mRNA-1","13245","13245",0.057,1094.3,333.7,0.0062,5e-04,0.08,0.5,26.7
"augustus_masked-scaffold946-size117884-abinit-gene-0.10-mRNA-1","13248","13248",0.121,999.5,281.5,0.0558,0.0086,0.1536,8.6,43.2
"maker-scaffold946-size117884-augustus-gene-0.38-mRNA-1","13250","13250",0.083,733.4,181.6,0.0371,0.0045,0.1215,3.3,22.1
"maker-scaffold946-size117884-augustus-gene-0.39-mRNA-1","13251","13251",0.01,759.4,248.6,0.0848,9e-04,0.0106,0.7,2.6
"augustus_masked-scaffold946-size117884-abinit-gene-0.12-mRNA-1","13252","13252",0.042,714.4,197.6,0.0783,0.0039,0.0499,2.8,9.9
"maker-scaffold946-size117884-snap-gene-0.53-mRNA-1","13253","13253",0.021,906.4,290.6,0.0984,0.0022,0.0225,2,6.5
"maker-scaffold946-size117884-augustus-gene-0.42-mRNA-1","13254","13254",0.12,481.5,166.5,0.0385,0.0054,0.14,2.6,23.3
"maker-scaffold946-size117884-augustus-gene-0.41-mRNA-1","13255","13255",0.041,2032.8,688.2,0.03,0.0015,0.0501,3.1,34.5
"maker-scaffold1024-size49215-augustus-gene-0.10-mRNA-1","13259","13259",0.141,3907.4,1285.6,0.0614,0.0098,0.1598,38.4,205.5
